precipitation,temp_max,temp_min,wind,temp_range,weather_label,weather
0.0,12.8,5.0,4.7,7.800000000000001,0,drizzle
10.9,10.6,2.8000000000000007,4.5,7.8,2,rain
0.7999999999999998,11.7,7.2,2.3,4.499999999999999,2,rain
20.3,12.2,5.6,4.7,6.6,2,rain
1.3,8.9,2.8000000000000007,6.1,6.1000000000000005,2,rain
2.5,4.4,2.2,2.2,2.2,2,rain
0.0,7.199999999999999,2.8000000000000007,2.3,4.4,2,rain
0.0,10.0,2.8000000000000007,2.0,7.2,4,sun
4.3,9.4,5.0,3.4,4.4,2,rain
1.0000000000000002,6.1,0.5999999999999996,3.4,5.5,2,rain
0.0,6.1,-1.0999999999999996,5.1,7.199999999999999,4,sun
0.0,6.1,-1.6999999999999993,1.9,7.8,4,sun
0.0,5.0,-2.8000000000000007,1.3,7.8,4,sun
4.1,4.4,0.5999999999999996,5.3,3.8000000000000007,3,snow
5.3,1.0999999999999996,-3.3000000000000007,3.2,4.4,3,snow
2.5,1.6999999999999993,-2.8000000000000007,5.0,4.5,3,snow
8.1,3.3000000000000007,0.0,5.6,3.3,3,snow
19.8,0.0,-2.8000000000000007,5.0,2.8,3,snow
15.2,-1.1000000000000014,-2.8000000000000007,1.6,1.6999999999999993,3,snow
13.5,7.199999999999999,-1.0999999999999996,2.3,8.3,3,snow
3.0,8.3,3.3,7.54000000000001,5.000000000000001,2,rain
6.1,6.699999999999999,2.2,4.8,4.5,2,rain
0.0,8.3,1.0999999999999988,3.6,7.200000000000001,2,rain
8.6,10.0,2.2,5.1,7.8,2,rain
8.1,8.9,4.4,5.4,4.5,2,rain
4.8,8.9,1.0999999999999988,4.8,7.800000000000001,2,rain
0.0,6.699999999999999,-2.1999999999999975,1.4,8.9,0,drizzle
0.0,6.699999999999999,0.5999999999999996,2.2,6.1000000000000005,2,rain
27.7,9.4,3.9000000000000004,4.5,5.5,2,rain
3.6,8.3,6.1,5.1,2.200000000000001,2,rain
1.8,9.4,6.1,3.9,3.3000000000000007,2,rain
13.5,8.9,3.3,2.7,5.6000000000000005,2,rain
0.0,8.3,1.7000000000000002,2.6,6.6000000000000005,4,sun
0.0,14.4,2.2,5.3,12.2,4,sun
0.0,15.6,5.0,4.3,10.6,4,sun
0.0,13.9,1.7000000000000002,2.9,12.200000000000001,4,sun
0.0,16.1,1.7000000000000002,5.0,14.400000000000002,4,sun
0.2999999999999998,15.6,7.8,5.3,7.8,2,rain
2.8,10.0,5.0,2.7,5.0,2,rain
2.5,11.1,7.8,2.4,3.3,2,rain
2.5,12.8,6.7,3.0,6.1000000000000005,2,rain
0.7999999999999998,8.9,5.6,3.4,3.3000000000000007,2,rain
1.0000000000000002,8.3,5.0,1.3,3.3000000000000007,2,rain
11.399999999999999,7.199999999999999,4.4,1.4,2.8,2,rain
2.5,6.699999999999999,1.0999999999999988,3.1,5.6,2,rain
0.0,7.199999999999999,0.5999999999999996,1.8,6.6000000000000005,0,drizzle
1.8,7.199999999999999,3.3,2.1,3.9000000000000004,2,rain
17.3,10.0,4.4,3.4,5.6,2,rain
6.4,6.699999999999999,3.9000000000000004,7.54000000000001,2.8000000000000007,2,rain
0.0,6.699999999999999,2.2,4.7,4.5,4,sun
3.0,7.800000000000001,1.7000000000000002,2.9,6.1,2,rain
